hand,first_win_day,first_win_situation,wins
6543s,2025-08-16,showdown,"[""4s6c3s5d"", ""5d3h4s6d""]"
7654s,2025-08-16,preflop,"[""6c5s7d4c"", ""4d6h7c5d""]"
8872s,2025-08-16,river,"[""7s8s2h8c""]"
A543s,2025-08-16,showdown,"[""Ad5s4c3d""]"
A662d,2025-08-16,showdown,"[""6c6d2dAc""]"
A765d,2025-08-16,showdown,"[""5dAc6c7d""]"
A876s,2025-08-16,preflop,"[""6cAd7h8d"", ""6d7hAs8s"", ""Ah7c8s6h"", ""Ac8c6s7h""]"
A885s,2025-08-16,river,"[""8cAh8h5d"", ""8d8c5sAs"", ""8dAs5h8s""]"
A972d,2025-08-16,preflop,"[""7d9sAs2d""]"
A993s,2025-08-16,turn,"[""9c3s9hAc""]"
A998d,2025-08-16,river,"[""Ah9d8d9h""]"
AA53r,2025-08-16,preflop,"[""5c3hAsAd""]"
AA54s,2025-08-16,flop,"[""Ac4sAd5d"", ""Ac4cAd5h"", ""4sAc5dAs""]"
AA63t,2025-08-16,preflop,"[""3cAd6cAc""]"
AA64r,2025-08-16,showdown,"[""AsAh4d6c"", ""Ad6hAs4c""]"
AA74r,2025-08-16,showdown,"[""As7d4hAc""]"
AA83s,2025-08-16,preflop,"[""3c8cAdAs"", ""AdAh8d3s""]"
AAK6s,2025-08-16,preflop,"[""AdAc6cKh""]"
AAKJs,2025-08-16,preflop,"[""AcKhAsJc""]"
AAQ3s,2025-08-16,flop,"[""3dQdAhAc""]"
AAQ4s,2025-08-16,showdown,"[""QhAhAc4s""]"
AAQ5s,2025-08-16,showdown,"[""QhAsAc5h"", ""QdAhAc5d""]"
AAQ6s,2025-08-16,showdown,"[""6cAsAcQd""]"
AAQ8s,2025-08-16,showdown,"[""Ah8cAcQd"", ""8cAdQcAh""]"
AAT3d,2025-08-16,showdown,"[""TsAsAd3d""]"
AAT8s,2025-08-16,turn,"[""8cAsAdTs""]"
AJ43s,2025-08-16,preflop,"[""3sJd4hAs""]"
AJJ2s,2025-08-16,flop,"[""JcJdAd2s"", ""AhJsJc2h""]"
AJJTd,2025-08-16,turn,"[""TsJhAhJs""]"
AJT3t,2025-08-16,showdown,"[""TcJs3cAc"", ""TsJhAh3h""]"
AJT6s,2025-08-16,showdown,"[""JdAcTs6d"", ""AsTs6dJh"", ""JhTdAs6s""]"
AK32s,2025-08-16,river,"[""3hKc2dAh""]"
AK54d,2025-08-16,showdown,"[""KdAd4h5h""]"
AK54s,2025-08-16,showdown,"[""Ks5h4hAc"", ""4dAd5cKh""]"
AK87d,2025-08-16,turn,"[""Ac7h8cKh"", ""8sKsAh7h""]"
AK96t,2025-08-16,showdown,"[""Ks6c9cAc"", ""9hAhKh6s""]"
AK97s,2025-08-16,showdown,"[""Ac9c7hKd"", ""Kd9cAh7h"", ""Ah9cKs7h"", ""AcKc7h9d"", ""Ac9d7sKc""]"
AK99s,2025-08-16,turn,"[""AcKc9d9s"", ""9sKs9dAc""]"
AKJ5s,2025-08-16,flop,"[""Ad5hJdKs""]"
AKJ7s,2025-08-16,turn,"[""JdAhKs7h"", ""7dJsAcKs""]"
AKJ8s,2025-08-16,preflop,"[""AsJcKc8h"", ""Jh8sKhAc"", ""8dKsAhJh"", ""AcKcJh8s""]"
AKK5s,2025-08-16,showdown,"[""5dAhKsKd"", ""KdAs5hKh"", ""AdKhKc5c""]"
AKK7s,2025-08-16,showdown,"[""AhKh7sKd""]"
AKQ3t,2025-08-16,showdown,"[""Ac3cQcKd""]"
AKQ4s,2025-08-16,river,"[""4sQcAdKs"", ""Ad4dKcQs"", ""AdKcQh4c"", ""Ah4hKsQd""]"
AKQ5s,2025-08-16,showdown,"[""AdKcQc5s""]"
AKQ9s,2025-08-16,turn,"[""9hAsKdQh"", ""AcKhQh9s"", ""KdQcAd9s"", ""Ad9sQhKd""]"
AKQJs,2025-08-16,showdown,"[""AhJdKdQs"", ""QcKcAhJs""]"
AKQTs,2025-08-16,preflop,"[""AsThKdQs"", ""AsThQcKs"", ""AdKsTcQc""]"
AKT3s,2025-08-16,showdown,"[""3cKsTdAs"", ""3cKhAhTd""]"
AKT4t,2025-08-16,preflop,"[""TdKhAd4d""]"
AKT6d,2025-08-16,preflop,"[""6cKcTsAs""]"
AKT7d,2025-08-16,preflop,"[""Td7sAdKs"", ""AsThKs7h"", ""7hAsThKs""]"
AKT8d,2025-08-16,turn,"[""AdTsKs8d""]"
AQ64d,2025-08-16,preflop,"[""6h4dQhAd"", ""4d6hQdAh"", ""Ac4h6cQh""]"
AQ93s,2025-08-16,showdown,"[""QsAd9s3h""]"
AQJ2s,2025-08-16,flop,"[""QdJhAd2s""]"
AQJ5s,2025-08-16,preflop,"[""Ad5cJsQd"", ""QhAs5dJs""]"
AQJ5t,2025-08-16,showdown,"[""Js5dQsAs""]"
AQJJs,2025-08-16,showdown,"[""QcAcJdJs"", ""QcJhJdAh"", ""JhAsQhJc""]"
AQJTt,2025-08-16,flop,"[""QhAhJsTh""]"
AQQ5s,2025-08-16,river,"[""QhAs5cQc""]"
AQT4t,2025-08-16,showdown,"[""Tc4cQcAh"", ""4dQcAdTd""]"
AT52d,2025-08-16,showdown,"[""2hTc5hAc"", ""AhTh2d5d""]"
AT85s,2025-08-16,flop,"[""AsTc5h8s""]"
